x,y
1,50000,0,9974949866
1,55000,0,9997837642
1,60000,0,9995736030
1,65000,0,9968650285
1,70000,0,9916648105
1,75000,0,9839859469
1,80000,0,9738476309
1,85000,0,9612752030
1,90000,0,9463000877
1,95000,0,9289597150
2,00000,0,9092974268
2,05000,0,8873623686
2,10000,0,8632093666
2,15000,0,8368987908
2,20000,0,8084964038
2,25000,0,7780731969
2,30000,0,7457052122
2,35000,0,7114733528
2,40000,0,6754631806
2,45000,0,6377647021
2,50000,0,5984721441
2,55000,0,5576837174
2,60000,0,5155013718
2,65000,0,4720305413
2,70000,0,4273798802
2,75000,0,3816609921
2,80000,0,3349881502
2,85000,0,2874780123
2,90000,0,2392493292
2,95000,0,1904226474
3,00000,0,1411200081
3,05000,0,0914646422
3,10000,0,0415806624
3,15000,-0,0084072474
3,20000,-0,0583741434
3,25000,-0,1081951345
3,30000,-0,1577456941
3,35000,-0,2069019717
3,40000,-0,2555411020
3,45000,-0,3035415127
3,50000,-0,3507832277
3,55000,-0,3971481673
3,60000,-0,4425204433
3,65000,-0,4867866487
3,70000,-0,5298361409
3,75000,-0,5715613187
3,80000,-0,6118578909
3,85000,-0,6506251371
3,90000,-0,6877661592
3,95000,-0,7231881241
4,00000,-0,7568024953
4,05000,-0,7885252544
4,10000,-0,8182771111
4,15000,-0,8459837011
4,20000,-0,8715757724
4,25000,-0,8949893582
4,30000,-0,9161659367
4,35000,-0,9350525776
4,40000,-0,9516020739
4,45000,-0,9657730606
4,50000,-0,9775301177
4,55000,-0,9868438585
4,60000,-0,9936910036
4,65000,-0,9980544388
4,70000,-0,9999232576
4,75000,-0,9992927890
4,80000,-0,9961646088
4,85000,-0,9905465360
4,90000,-0,9824526126
4,95000,-0,9719030694
5,00000,-0,9589242747
5,05000,-0,9435486686
5,10000,-0,9258146823
5,15000,-0,9057666415
5,20000,-0,8834546557
5,25000,-0,8589344934
5,30000,-0,8322674422
5,35000,-0,8035201559
5,40000,-0,7727644876
5,45000,-0,7400773105
5,50000,-0,7055403256
5,55000,-0,6692398573
5,60000,-0,6312666379
5,65000,-0,5917155806
5,70000,-0,5506855426
5,75000,-0,5082790775
5,80000,-0,4646021794
5,85000,-0,4197640178
5,90000,-0,3738766648
5,95000,-0,3270548149
6,00000,-0,2794154982
6,05000,-0,2310777883
6,10000,-0,1821625043
6,15000,-0,1327919089
6,20000,-0,0830894028
6,25000,-0,0331792165
6,30000,0,0168139005
6,35000,0,0667649915
6,40000,0,1165492049
6,45000,0,1660421059
6,50000,0,2151199881
